pmid,title,abstract,qid,nct_ids,pmcid
35349331,Sorafenib in Combination With Standard Chemotherapy for Children With High Allelic Ratio  FLT3 /ITD+ Acute Myeloid Leukemia: A Report From the Children's Oncology Group Protocol AAML1031.,"High allelic ratio (HAR)  FLT3 /ITD (AR > 0.4) mutations confer poor prognosis in pediatric acute myeloid leukemia (AML). COG AAML1031 studied the feasibility and efficacy of adding sorafenib, a multi…",6d09b924e073,,
39237634,Phase 3 study of gilteritinib versus salvage chemotherapy in predominantly Asian patients with relapsed/refractory FLT3-mutated acute myeloid leukemia.,The phase 3 COMMODORE trial evaluated gilteritinib versus salvage chemotherapy (SC) in a predominantly Asian relapsed/refractory (R/R) FLT3-mutated (FLT3 mut+ ) acute myeloid leukemia (AML) patient po…,6d09b924e073,,
40737595,Disease risk but not remission status determines transplant outcomes in AML: long-term outcomes of the ASAP trial.,"Attempting to induce a complete remission before allogeneic hematopoietic cell transplant (alloHCT) is current practice in patients with acute myeloid leukemia (AML). However, benefit of remission ind…",6d09b924e073,NCT02461537,
40590852,"Impact of transplant conditioning, NPM1 mutations, and measurable residual disease in FLT3-ITD acute myeloid leukemia.","We conducted a post hoc analysis of data from Blood and Marrow Transplant Clinical Trials Network 1506 (MORPHO), a randomized trial of gilteritinib vs placebo as posttransplantation maintenance for pa…",6d09b924e073,NCT02997202,
39167766,Health-related quality of life with gilteritinib vs placebo posttransplant for FLT3-ITD+ acute myeloid leukemia.,The Blood and Marrow Transplant (BMT) Clinical Trials Network conducted a phase 3 randomized trial comparing gilteritinib with placebo after allogeneic hematopoietic cell transplantation (HCT) for FLT…,6d09b924e073,NCT02997202,
37480164,Children's Oncology Group's 2023 blueprint for research: Myeloid neoplasms.,"During the past decade, the outcomes of pediatric patients with acute myeloid leukemia (AML) have plateaued with 5-year event-free survival (EFS) and overall survival (OS) of approximately 46 and 64%,…",6d09b924e073,NCT00372593; NCT01371981,
33108244,"Effect of rhG-CSF Combined With Decitabine Prophylaxis on Relapse of Patients With High-Risk MRD-Negative AML After HSCT: An Open-Label, Multicenter, Randomized Controlled Trial.",Relapse is a major cause of treatment failure after allogeneic hematopoietic stem-cell transplantation (allo-HSCT) for high-risk acute myeloid leukemia (HR-AML). The aim of this study was to explore t…,6d09b924e073,,
25976987,NFATc1 as a therapeutic target in FLT3-ITD-positive AML.,Internal tandem duplications (ITD) in the Fms-related tyrosine kinase 3 receptor (FLT3) are associated with a dismal prognosis in acute myeloid leukemia (AML). FLT3 inhibitors such as sorafenib may im…,6d09b924e073,,
38782575,Gilteritinib with or without venetoclax for relapsed/refractory FLT3-mutated acute myeloid leukaemia.,Patients with FLT3-mutated acute myeloid leukaemia (AML) that relapse or are refractory (R/R) to intensive induction have poor outcomes. Gilteritinib has recently become standard-of-care for patients …,6d09b924e073,,
39019012,Metformin synergizes with gilteritinib in treating FLT3-mutated leukemia via targeting PLK1 signaling.,"Fms-like tyrosine kinase 3 (FLT3) mutations, present in over 30% of acute myeloid leukemia (AML) cases and dominated by FLT3-internal tandem duplication (FLT3-ITD), are associated with poor outcomes i…",6d09b924e073,,
42050760,GATA2 Mutations Predict Poor Prognosis in Transplanted Myeloid Neoplasms.,"GATA binding protein 2 (GATA2) plays a crucial role in the differentiation, proliferation, and maintenance of hematopoietic stem cells (HSCs). GATA2 mutations have been identified in acute myeloid leu…",6d09b924e073,,
38907755,Prophylactic therapy using epigenetic agents for RUNX1::RUNXT1-positive high-risk AML after Allo-HSCT.,Disease recurrence is the leading cause of treatment failure in patients with RUNX1::RUNXT1-positive acute myeloid leukemia (AML) after allogeneic hematopoietic stem cell transplantation (allo-HSCT). …,6d09b924e073,,
36351633,Significance of Gene Diagnosis in Acute Myeloid Leukemia with the Emergence of New Molecular Target Drug Treatment.,Acute myeloid leukemia (AML) is a heterogeneous hematopoietic malignancy accompanied by impaired differentiation and autonomous proliferation of hematopoietic stem cells. Standard induction therapy re…,6d09b924e073,,
41348911,Venetoclax/FluBu2 RIC transplant followed by all-oral venetoclax/decitabine maintenance for poor-risk MDS/AML.,"To improve the tolerability of posttransplant maintenance and outcomes despite poor-risk disease genetics, we conducted a phase 1 study of venetoclax (Ven) with FluBu2 (fludarabine/busulfan) reduced-i…",6d09b924e073,NCT03613532,
36576532,Molecular response patterns in relapsed/refractory AML patients treated with selinexor and chemotherapy.,Relapse in patients with acute myeloid leukemia (AML) is common and is associated with a dismal prognosis. Treatment options are limited and the understanding of molecular response patterns is still c…,6d09b924e073,,
27935576,Acute lymphoblastic leukemia relapsing after first-line pediatric-inspired therapy: a retrospective GRAALL study.,The outcome of adult patients with Philadelphia chromosome-negative acute lymphoblastic leukemia (Ph- ALL) relapsing after pediatric-inspired front-line therapy is ill known. Here 229 relapsing Ph- AL…,6d09b924e073,,
32518943,How I treat relapsed or refractory AML.,"Treatment of relapsed or refractory acute myeloid leukemia (AML) has presented challenges for hematologists for decades. Despite numerous clinical studies, outcomes are consistently disappointing with…",6d09b924e073,,
39348668,Measurable residual disease monitoring in AML with FLT3-ITD treated with intensive chemotherapy plus midostaurin.,Measurable residual disease (MRD) monitoring in acute myeloid leukemia (AML) with an FLT3 internal tandem duplication (FLT3-ITDpos) has been hampered by the broad heterogeneity of ITD mutations. Using…,6d09b924e073,,
38776229,A retrospective study of an irradiation-based conditioning regimen and chidamide maintenance therapy in T-ALL/LBL.,"T-cell acute lymphoblastic leukemia/lymphoblastic lymphoma (T-ALL/LBL) are highly malignant and aggressive hematologic tumors for which there is no standard first-line treatment. Chidamide, a novel hi…",6d09b924e073,,
37468240,Clinical Features of Clonal Cytogenetic Abnormalities in Philadelphia-negative Cells Developed During Tyrosine Kinase Inhibitor Treatment.,"Most clonal cytogenetic abnormalities of Philadelphia-negative cells (CCA/Ph-) occurring during tyrosine kinase inhibitor (TKI) treatment are transient, and the development of secondary myelodysplasti…",6d09b924e073,,
25314772,[Russian experts' clinical guidelines for acute myeloid leukemia treatment in patients less than 60 years of age].,The purpose of the paper is to present Russian experts' consolidated opinion about acute myeloid leukemia (AML) treatment in adult patients aged less than 60 years. The guidelines have been elaborated…,6d09b924e073,,
33257285,Outcome and Prognostic Features in Pediatric Acute Megakaryoblastic Leukemia Without Down Syndrome: A Retrospective Study in China.,Acute megakaryoblastic leukemia (AMKL) is a biologically heterogeneous subtype of acute myeloid leukemia that originates from megakaryocytes. Patients with AMKL with non-Down syndrome (DS) had a poore…,6d09b924e073,,
38231480,Foretinib Is Effective in Acute Myeloid Leukemia by Inhibiting FLT3 and Overcoming Secondary Mutations That Drive Resistance to Quizartinib and Gilteritinib.,FLT3 internal tandem duplication (FLT3-ITD) mutations are one of the most prevalent somatic alterations associated with poor prognosis in patients with acute myeloid leukemia (AML). The clinically app…,6d09b924e073,,
38978049,"Ningetinib, a novel FLT3 inhibitor, overcomes secondary drug resistance in acute myeloid leukemia.",FMS-like tyrosine kinase 3 internal tandem duplication (FLT3-ITD) is a common mutation type in acute myeloid leukemia (AML) and is usually associated with poor patient prognosis. With advancements in …,6d09b924e073,,
26411119,CHARACTERISTICS AND OUTCOMES OF PATIENTS WITH CHRONIC MYELOGENOUS LEUKEMIA IN BLAST CRISIS.,Chronic myelogenous leukaemia (CML) is a hematopoietic stem cell disease with a relatively stable clinical course. Survival has increased with addition of Tyrosine Kinase inhibitors (TKI's). Its conve…,6d09b924e073,,
40839405,Gilteritinib in FLT3-mutated acute myeloid leukemia: A real-world Italian experience.,This real-world study evaluated the clinical effectiveness of gilteritinib in 205 patients with relapsed or refractory (R/R) FLT3-mutated acute myeloid leukemia (AML) enrolled in the Italian expanded …,6d09b924e073,,
37581458,"A Single-center, Real-world Experience of Chronic GVHD Treatment Using Ibrutinib, Imatinib, and Ruxolitinib and its Treatment Outcomes.","Chronic graft-versus-host disease (cGVHD) is a common cause of morbidity and mortality following allogeneic hematopoietic stem cell transplantation. Tyrosine kinase inhibitors (TKIs), including ruxoli…",6d09b924e073,,
40126789,Clonal Evolution of Myeloid Malignancies Treated With Microtransplantation: A Single-Centre Experience.,Microtransplantation is a cellular therapy used in acute myeloid leukaemia and myelodysplastic syndromes as a maintenance therapy in patients ineligible for a regular allogeneic stem cell transplantat…,6d09b924e073,,
16281075,Improved treatment results for childhood acute myeloid leukemia in Taiwan.,"To improve treatment results for children with de novo acute myeloid leukemia (AML), we introduced a novel protocol, Taiwan Pediatric Oncology Group-AML-97A, for AML other than acute promyelocytic leu…",6d09b924e073,,
37647654,"Sorafenib plus intensive chemotherapy in newly diagnosed FLT3-ITD AML: a randomized, placebo-controlled study by the ALLG.",Sorafenib maintenance improves outcomes after hematopoietic cell transplant (HCT) for patients with FMS-like tyrosine kinase 3-internal tandem duplication (FLT3-ITD) acute myeloid leukemia (AML). Alth…,6d09b924e073,,
32862867,FLT3 Inhibition in Acute Myeloid Leukemia.,Mutations in the FLT3 receptor tyrosine kinase are the most frequently found mutations in acute myeloid leukemia (AML). Patients with FLT3 internal tandem duplication (ITD) mutations have poor prognos…,6d09b924e073,,
29431743,Sorafenib promotes graft-versus-leukemia activity in mice and humans through IL-15 production in FLT3-ITD-mutant leukemia cells.,Individuals with acute myeloid leukemia (AML) harboring an internal tandem duplication (ITD) in the gene encoding Fms-related tyrosine kinase 3 (FLT3) who relapse after allogeneic hematopoietic cell t…,6d09b924e073,,
9916638,Haemopoietic cell transplantation activity and results: a single institution experience.,"Between February 1993 and November 1997, 62 patients with severe aplastic anaemia (SAA), acute myeloid (AML), acute lymphoid (ALL), or chronic myeloid leukaemia (CML) as well as two patients with NHL …",6d09b924e073,,
33857784,Risk adapted therapeutic strategy in newly diagnosed acute myeloid leukemia: Refining the outcomes of ELN 2017 intermediate-risk patients.,"Despite advances in the treatment of acute myeloid leukemia (AML), cytotoxic chemotherapy remains the standard induction regimen. In this single center retrospective study, we assessed outcomes of 99 …",6d09b924e073,,
29304116,The sorafenib anti-relapse effect after alloHSCT is associated with heightened alloreactivity and accumulation of CD8+PD-1+ (CD279+) lymphocytes in marrow.,We studied three FLT3 ITD acute myeloid leukemia (AML) patients who relapsed after allogeneic haematopoietic stem cell transplantation (alloHSCT) and received multikinase inhibitor (MKI) sorafenib as …,6d09b924e073,,
38879112,Key role of glutamine metabolism in persistence of leukemic cells upon exposition to FLT3 tyrosine kinase inhibitors.,Acute myeloid leukemias are a group of hematological malignancies characterized by a poor prognosis for survival. The discovery of oncogenic mutations in the FMS-like tyrosine kinase 3 (FLT3) gene has…,6d09b924e073,,
37418118,Prophylactic or pre-emptive therapies to prevent relapse after allogeneic hematopoietic stem cell transplantation.,"Allogeneic hematopoietic stem cell transplantation is a potent curative treatment for hematological malignancies, but relapse is still a major problem. Donor lymphocyte infusion (DLI) and maintenance …",6d09b924e073,,
33188164,Updated risk-oriented strategy for acute lymphoblastic leukemia in adult patients 18-65 years: NILG ALL 10/07.,An updated strategy combining pediatric-based chemotherapy with risk-oriented allogeneic hematopoietic cell transplantation (HCT) was evaluated in Philadelphia chromosome-negative acute lymphoblastic …,6d09b924e073,,
30102945,Epigenetic modification enhances the cytotoxicity of busulfan and4-hydroperoxycyclophosphamide in AML cells.,"The combination of the DNA-alkylating agents busulfan (Bu) and cyclophosphamide is the most commonly used myeloablative pretransplantation conditioning therapy for myeloid leukemias. However, it is as…",6d09b924e073,,
33830026,Impact of Novel Targeted Therapies and Cytogenetic Risk Groups on Outcome After Allogeneic Transplantation for Adult ALL.,"Novel high-risk groups have recently been identified in adult acute lymphoblastic leukemia (ALL), including Philadelphia-like, therapy-related, and measurable residual disease after induction therapy.…",6d09b924e073,,
32798384,[Clinical Analysis for Patients with AML Treated after Allo-HSCT].,"To analyze risk factors that affect survival and relapse of AML patients after allogeneic hematopoietic stem cell transplantation (allo-HSCT), and to investigate the therapy choices after AML relapse.…",6d09b924e073,,
19772172,Long-term outcomes of de novo acute myeloid leukemia in Thai patients.,"Acute myeloid leukemia (AML) is the heterogeneous disease. As per previous reports, there are some differences in clinical features and cytogenetic biomarkers of AML among different ethnic backgrounds…",6d09b924e073,,
36149461,Dose-finding trial of azacitidine as post-transplant maintenance for high-risk MDS: a KSGCT prospective study.,"This 3+3 dose-escalation phase I multicenter study investigated the optimal dose of azacitidine (AZA) for post-hematopoietic stem cell transplantation (HSCT) maintenance, which remains unknown in Japa…",6d09b924e073,,
32681739,Phase I/II study of dasatinib in combination with decitabine in patients with accelerated or blast phase chronic myeloid leukemia.,Treatment of advanced-phase chronic myeloid leukemia (CML) remains unsatisfactory. Single-agent tyrosine kinase inhibitors have modest and short-lived activity in this setting. We conducted a phase I/…,6d09b924e073,,
35384048,Prediction of survival with intensive chemotherapy in acute myeloid leukemia.,Progress with intensive chemotherapy and supportive care measures has improved survival in newly diagnosed acute myeloid leukemia (AML). Predicting outcome helps in treatment decision making. We analy…,6d09b924e073,,
1453128,Survival in 91 adults with acute myelogenous leukaemia treated with 1-6 intensive courses of chemotherapy.,Ninety-one patients with acute myelogenous leukaemia (AML) aged 17-59 years were treated with a chemotherapy programme which could be completed within 30 weeks for patients who achieved complete remis…,6d09b924e073,,
39489220,Representativeness of Blood and Marrow Transplant Clinical Trials Network (BMT CTN) Trial Participants.,"Underrepresentation by race and ethnicity in oncology clinical trials, including those of hematopoietic cell transplantation (HCT), is a known challenge. This analysis studied accrual on Blood and Mar…",6d09b924e073,,
30071517,A Pilot Phase II Study of Erlotinib for the Treatment of Patients with Relapsed/Refractory Acute Myeloid Leukemia.,"Erlotinib, an epidermal growth factor receptor (EGFR) inhibitor, may have off-target activity inducing acute myeloid leukemia (AML) differentiation, possibly through SYK inhibition. We investigated er…",6d09b924e073,,
30185711,[Impact of peri-SCT immune modulation on Treg homeostasis and GVHD].,"Post allogeneic hematopoietic stem cell transplantation, CD4 ＋ CD25 ＋ Foxp3 ＋  regulatory T cells (Tregs) play a central role in the maintenance of self-tolerance and immune homeostasis. In recent yea…",6d09b924e073,,
20952518,Phase I study of sorafenib in patients with refractory or relapsed acute leukemias.,Background Sorafenib is a multi-kinase inhibitor with activity against fms-like tyrosine kinase 3 with internal tandem duplication mutation and Raf kinase among others. A phase I dose escalation study…,6d09b924e073,NCT00217646,
37704613,"Impact of genetic patterns on sorafenib efficacy in patients with FLT3-ITD acute myeloid leukemia undergoing allogeneic hematopoietic stem cell transplantation: a multi-center, cohort study.",Sorafenib therapy improves overall survival (OS) in patients with FLT3 internal tandem duplication (ITD) acute myeloid leukemia (AML) undergoing allogeneic hematopoietic stem cell transplantation. We …,6d09b924e073,,
26999641,Aberrant activation of the PI3K/mTOR pathway promotes resistance to sorafenib in AML.,"Therapy directed against oncogenic FLT3 has been shown to induce response in patients with acute myeloid leukemia (AML), but these responses are almost always transient. To address the mechanism of FL…",6d09b924e073,,
40577201,Post-transplant sorafenib effectively prevents relapse in FLT3-mutated acute myeloid leukemia.,Almost 50% of patients with FLT3-ITD AML relapse despite undergoing allogeneic hematopoietic stem cell transplantation (HSCT). FLT-3 inhibitors (FLT3i) can be used in a post-HSCT setting as a relapse …,6d09b924e073,,
37414062,"Sorafenib maintenance after allogeneic haemopoietic stem-cell transplantation in patients with FLT3-ITD acute myeloid leukaemia: long-term follow-up of an open-label, multicentre, randomised, phase 3 trial.","Our open-label, multicentre, randomised, phase 3 trial showed that sorafenib maintenance after haematopoietic stem-cell transplantation (HSCT) improved overall survival and reduced relapse for patient…",6d09b924e073,NCT02474290,
38548962,Management and outcome of patients with chronic myeloid leukemia in blast phase in the tyrosine kinase inhibitor era - analysis of the European LeukemiaNet Blast Phase Registry.,Blast phase (BP) of chronic myeloid leukemia (CML) still represents an unmet clinical need with a dismal prognosis. Due to the rarity of the condition and the heterogeneity of the biology and clinical…,6d09b924e073,,
36372140,Ruxolitinib on acute graft-versus-host disease prophylaxis after modified donor lymphocyte infusion.,To evaluate the effectiveness of ruxolitinib on acute graft-versus-host disease (aGVHD) prophylaxis and its impact on graft-versus-leukemia (GVL) effect in patients after modified donor lymphocyte inf…,6d09b924e073,,
39362494,"N-803, an IL-15 Superagonist Complex as Maintenance Therapy After Allogeneic Donor Stem Cell Transplant for Acute Myeloid Leukemia or Myelodysplastic Syndrome; A Phase 2 Trial.",Maintenance therapy may improve natural killer (NK) cell surveillance after allogeneic donor hematopoietic cell transplant (HCT) for myeloid malignancies and represents a potential approach to improve…,6d09b924e073,,
33831397,Homoharringtonine synergizes with quizartinib in FLT3-ITD acute myeloid leukemia by targeting FLT3-AKT-c-Myc pathway.,"Acute myeloid leukemia (AML) with FLT3 internal tandem duplication (FLT3-ITD) has a dismal prognosis. FLT3 inhibitors have been developed to treat patients with FLT3-ITD AML; however, when used alone,…",6d09b924e073,,
32791048,"Sorafenib maintenance in patients with FLT3-ITD acute myeloid leukaemia undergoing allogeneic haematopoietic stem-cell transplantation: an open-label, multicentre, randomised phase 3 trial.",Findings of retrospective studies suggest that sorafenib maintenance post-transplantation might reduce relapse in patients with FLT3 internal tandem duplication (FLT3-ITD) acute myeloid leukaemia unde…,6d09b924e073,NCT02474290,
33616652,Addition of lenalidomide to intensive treatment in younger and middle-aged adults with newly diagnosed AML: the HOVON-SAKK-132 trial.,"Lenalidomide, an antineoplastic and immunomodulatory drug, has therapeutic activity in acute myeloid leukemia (AML), but definitive studies about its therapeutic utility have been lacking. In a phase …",6d09b924e073,,
39113090,Concomitant targeting of FLT3 and SPHK1 exerts synergistic cytotoxicity in FLT3-ITD +  acute myeloid leukemia by inhibiting β-catenin activity via the PP2A-GSK3β axis.,Approximately 25-30% of patients with acute myeloid leukemia (AML) have FMS-like receptor tyrosine kinase-3 (FLT3) mutations that contribute to disease progression and poor prognosis. Prolonged exposu…,6d09b924e073,,
8642852,A prospective randomized trial of idarubicin vs daunorubicin in combination chemotherapy for acute myelogenous leukemia of the age group 55 to 75.,A prospective randomized study was conducted comparing the efficacy and toxicity of two anthracyclines for the treatment of patients with acute myeloid leukemia (AML) between 55 and 75 years. A total …,6d09b924e073,,
32282883,Quizartinib-resistant FLT3-ITD acute myeloid leukemia cells are sensitive to the FLT3-Aurora kinase inhibitor CCT241736.,Internal tandem duplication of FLT3 (FLT3-ITD) is one of the most common somatic mutations in acute myeloid leukemia (AML); it causes constitutive activation of FLT3 kinase and is associated with high…,6d09b924e073,,
19643984,High Id1 expression is associated with poor prognosis in 237 patients with acute myeloid leukemia.,"Inhibitors of differentiation (Id) are a group of dominant inhibitors of basic helix-loop-helix transcriptional factors, which promote excessive proliferation, and also protect cells against drug-indu…",6d09b924e073,,
36695874,Different treatment strategies versus a common standard arm (CSA) in patients with newly diagnosed AML over the age of 60 years: a randomized German inter-group study.,A randomized inter-group trial comparing more intensive treatment strategies to a common standard arm 3 + 7 (CSA) was conducted in patients with non-M3 AML. Untreated patients ≥ 60 years were allocate…,6d09b924e073,,
26923326,Risk-Adapted Approach to HLA-Matched Sibling Hematopoietic Cell Allografting: Impact of Adjusting Conditioning Intensity and Integrating Post-Transplant Therapeutic Interventions.,"Optimizing conditioning and post-transplant intervention may reduce non-relapse mortality and relapse, improving survival after allogeneic hematopoietic cell transplantation (allo-HCT). We used a risk…",6d09b924e073,,
21986636,Prognostic factors for outcomes in allogeneic transplantation for CML in the imatinib era: a CIBMTR analysis.,"Allogeneic hematopoietic SCT is an effective treatment in accelerated (AP) or blast phase (BP) CML. Imatinib (IM) has transient but significant activity in advanced phases of CML, which may permit ear…",6d09b924e073,,
40828961,Prognostic covariates associated with outcomes in patients with NPM1-mutated acute myeloid leukemia.,"NPM1 mutacute myeloid leukemia (AML) patients have greater heterogeneity. However, data on the comprehensive integration of clinical and genetic data in NPM1mutAML patients are limited, especially in …",6d09b924e073,,
39506591,Characteristics and Outcome of FLT3-ITD-Positive Acute Myeloid Leukemia.,"AML patients with FLT3-ITD mutation experience a poor prognosis. Our study evaluated the clini¬cal characteristics, remission, relapse, and clinical outcomes of these patients. We also assessed the ef…",6d09b924e073,,
26220759,Pretransplantation use of the second-generation tyrosine kinase inhibitors has no negative impact on the HCT outcome.,Allogeneic hematopoietic cell transplantation (HCT) was a standard therapy in chronic phase (CP) chronic myeloid leukemia (CML). As a result of the effective therapy with tyrosine kinase inhibitors (T…,6d09b924e073,,
35228711,Gilteritinib enhances graft-versus-leukemia effects against FLT3-ITD mutant leukemia after allogeneic hematopoietic stem cell transplantation.,"Allogeneic hematopoietic stem cell transplantation (allo-SCT) is a potentially curative therapy for FLT3 internal tandem duplication mutant (FLT3-ITD + ) acute myeloid leukemia, but relapse rate is hi…",6d09b924e073,,
35344039,"Preclinical and Pilot Study of Type I FLT3 Tyrosine Kinase Inhibitor, Crenolanib, with Sorafenib in Acute Myeloid Leukemia and FLT3-Internal Tandem Duplication.","To evaluate the safety, activity, and emergence of FLT3-kinase domain (KD) mutations with combination therapy of crenolanib and sorafenib in acute myeloid leukemia (AML) with FLT3-internal tandem dupl…",6d09b924e073,,
18950458,Liposomal daunorubicin versus standard daunorubicin: long term follow-up of the GIMEMA GSI 103 AMLE randomized trial in patients older than 60 years with acute myelogenous leukaemia.,This randomized phase III clinical trial explored the efficacy of DaunoXome (DNX) versus Daunorubicin (DNR) in acute myeloid leukaemia (AML) patients aged >60 years. Three hundred and one AML patients…,6d09b924e073,,
36485102,Transplant for TP53-mutated MDS and AML: because we can or because we should?,TP53 mutations impair the cellular response to genotoxic stress and drive intrinsic resistance to conventional cytotoxic therapies. Clinical outcomes in patients with TP53-mutated myeloid malignancies…,6d09b924e073,,
39589497,Central nervous system relapse after allogeneic HCT in FLT3-mutated AML.,"Central nervous system (CNS) relapse in acute myeloid leukemia (AML) is rare, but prognostically extremely unfavorable and associated with very high mortality rates. Aim of our single-center study was…",6d09b924e073,,
35917188,Murine CAR19 Tregs suppress acute graft-versus-host disease and maintain graft-versus-tumor responses.,"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) efficacy is complicated by graft-versus-host disease (GVHD), a leading cause of morbidity and mortality. Regulatory T cells (Tregs) have …",6d09b924e073,,
35981392,[Hyperthyroidism after Allogeneic Hematopoietic Stem Cell Transplantation].,"To investigate the clinical characteristics, etiology, therapy and outcome of hyperthyroidism after allogeneic hematopoietic stem cell transplantation (HSCT). The clinical data of 7 patients who exper…",6d09b924e073,,
36150050,Enasidenib as maintenance following allogeneic hematopoietic cell transplantation for IDH2-mutated myeloid malignancies.,IDH2 (isocitrate dehydrogenase 2) mutations occur in approximately 15% of patients with acute myeloid leukemia (AML). The IDH2 inhibitor enasidenib was recently approved for IDH2-mutated relapsed or r…,6d09b924e073,NCT03515512,
